ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	331	48 (15%)	16 (5%)	14 (4%)	18 (5%)	66 (20%)	178 (54%)	153 (46%)
								
Forehand side	150	29 (19%)	12 (8%)	7 (5%)	10 (7%)	25 (17%)	82 (55%)	68 (45%)
Backhand side	181	19 (10%)	4 (2%)	7 (4%)	8 (4%)	41 (23%)	96 (53%)	85 (47%)
								
FH GS (top/flt/slc)	143	26 (18%)	11 (8%)	5 (3%)	10 (7%)	25 (17%)	78 (55%)	65 (45%)
BH GS (top/flt/slc)	170	17 (10%)	2 (1%)	7 (4%)	8 (5%)	41 (24%)	92 (54%)	78 (46%)
								
Baseline shots	327	46 (14%)	15 (5%)	13 (4%)	18 (6%)	66 (20%)	176 (54%)	151 (46%)
Net shots	4	2 (50%)	1 (25%)	1 (25%)	0 (0%)	0 (0%)	2 (50%)	2 (50%)
								
Groundstrokes (top/flt)	292	42 (14%)	13 (4%)	11 (4%)	18 (6%)	62 (21%)	162 (55%)	130 (45%)
Dropshots	6	2 (33%)	1 (17%)	1 (17%)	0 (0%)	0 (0%)	4 (67%)	2 (33%)
Lobs	8	1 (13%)	1 (13%)	0 (0%)	0 (0%)	0 (0%)	2 (25%)	6 (75%)
								
Volleys	3	1 (33%)	0 (0%)	1 (33%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
Smashes	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Forehands (top/flt)	137	26 (19%)	11 (8%)	5 (4%)	10 (7%)	23 (17%)	75 (55%)	62 (45%)
Backhands (top/flt)	155	16 (10%)	2 (1%)	6 (4%)	8 (5%)	39 (25%)	87 (56%)	68 (44%)
FH slice/chip	6	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (33%)	3 (50%)	3 (50%)
BH slice/chip	15	1 (7%)	0 (0%)	1 (7%)	0 (0%)	2 (13%)	5 (33%)	10 (67%)
FH drop shot	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH drop shot	5	1 (20%)	1 (20%)	0 (0%)	0 (0%)	0 (0%)	3 (60%)	2 (40%)
FH lob	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
BH lob	5	1 (20%)	1 (20%)	0 (0%)	0 (0%)	0 (0%)	1 (20%)	4 (80%)
								
FH volley	2	1 (50%)	0 (0%)	1 (50%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
BH volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
FH smash	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
