ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	449	81 (18%)	33 (7%)	17 (4%)	31 (7%)	51 (11%)	275 (61%)	174 (39%)
								
Forehand side	208	42 (20%)	18 (9%)	7 (3%)	17 (8%)	11 (5%)	131 (63%)	77 (37%)
Backhand side	241	39 (16%)	15 (6%)	10 (4%)	14 (6%)	40 (17%)	144 (60%)	97 (40%)
								
FH GS (top/flt/slc)	194	35 (18%)	14 (7%)	5 (3%)	16 (8%)	11 (6%)	121 (62%)	73 (38%)
BH GS (top/flt/slc)	219	27 (12%)	8 (4%)	7 (3%)	12 (5%)	39 (18%)	132 (60%)	87 (40%)
								
Baseline shots	431	70 (16%)	26 (6%)	14 (3%)	30 (7%)	51 (12%)	262 (61%)	169 (39%)
Net shots	18	11 (61%)	7 (39%)	3 (17%)	1 (6%)	0 (0%)	13 (72%)	5 (28%)
								
Groundstrokes (top/flt)	393	59 (15%)	22 (6%)	12 (3%)	25 (6%)	48 (12%)	244 (62%)	149 (38%)
Dropshots	11	7 (64%)	4 (36%)	1 (9%)	2 (18%)	0 (0%)	7 (64%)	4 (36%)
Lobs	7	1 (14%)	0 (0%)	1 (14%)	0 (0%)	1 (14%)	2 (29%)	5 (71%)
								
Volleys	12	6 (50%)	4 (33%)	1 (8%)	1 (8%)	0 (0%)	8 (67%)	4 (33%)
Smashes	5	5 (100%)	3 (60%)	2 (40%)	0 (0%)	0 (0%)	5 (100%)	0 (0%)
Half-volleys	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
Forehands (top/flt)	191	34 (18%)	14 (7%)	5 (3%)	15 (8%)	11 (6%)	119 (62%)	72 (38%)
Backhands (top/flt)	202	25 (12%)	8 (4%)	7 (3%)	10 (5%)	37 (18%)	125 (62%)	77 (38%)
FH slice/chip	3	1 (33%)	0 (0%)	0 (0%)	1 (33%)	0 (0%)	2 (67%)	1 (33%)
BH slice/chip	17	2 (12%)	0 (0%)	0 (0%)	2 (12%)	2 (12%)	7 (41%)	10 (59%)
FH drop shot	2	1 (50%)	0 (0%)	0 (0%)	1 (50%)	0 (0%)	1 (50%)	1 (50%)
BH drop shot	9	6 (67%)	4 (44%)	1 (11%)	1 (11%)	0 (0%)	6 (67%)	3 (33%)
FH lob	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
BH lob	4	1 (25%)	0 (0%)	1 (25%)	0 (0%)	1 (25%)	1 (25%)	3 (75%)
								
FH volley	3	1 (33%)	1 (33%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
BH volley	9	5 (56%)	3 (33%)	1 (11%)	1 (11%)	0 (0%)	5 (56%)	4 (44%)
FH smash	5	5 (100%)	3 (60%)	2 (40%)	0 (0%)	0 (0%)	5 (100%)	0 (0%)
FH half-volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
