ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	225	45 (20%)	18 (8%)	11 (5%)	16 (7%)	42 (19%)	131 (58%)	94 (42%)
								
Forehand side	124	26 (21%)	10 (8%)	6 (5%)	10 (8%)	17 (14%)	76 (61%)	48 (39%)
Backhand side	101	19 (19%)	8 (8%)	5 (5%)	6 (6%)	25 (25%)	55 (54%)	46 (46%)
								
FH GS (top/flt/slc)	117	22 (19%)	7 (6%)	6 (5%)	9 (8%)	16 (14%)	70 (60%)	47 (40%)
BH GS (top/flt/slc)	81	7 (9%)	1 (1%)	2 (2%)	4 (5%)	25 (31%)	41 (51%)	40 (49%)
								
Baseline shots	207	33 (16%)	10 (5%)	8 (4%)	15 (7%)	41 (20%)	115 (56%)	92 (44%)
Net shots	18	12 (67%)	8 (44%)	3 (17%)	1 (6%)	1 (6%)	16 (89%)	2 (11%)
								
Groundstrokes (top/flt)	192	28 (15%)	8 (4%)	8 (4%)	12 (6%)	39 (20%)	110 (57%)	82 (43%)
Dropshots	7	3 (43%)	1 (14%)	0 (0%)	2 (29%)	0 (0%)	3 (43%)	4 (57%)
Lobs	2	1 (50%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
Volleys	16	11 (69%)	7 (44%)	3 (19%)	1 (6%)	1 (6%)	15 (94%)	1 (6%)
Smashes	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Half-volleys	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
Forehands (top/flt)	117	22 (19%)	7 (6%)	6 (5%)	9 (8%)	16 (14%)	70 (60%)	47 (40%)
Backhands (top/flt)	75	6 (8%)	1 (1%)	2 (3%)	3 (4%)	23 (31%)	40 (53%)	35 (47%)
BH slice/chip	6	1 (17%)	0 (0%)	0 (0%)	1 (17%)	2 (33%)	1 (17%)	5 (83%)
FH drop shot	1	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)
BH drop shot	6	2 (33%)	1 (17%)	0 (0%)	1 (17%)	0 (0%)	3 (50%)	3 (50%)
BH lob	2	1 (50%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
FH volley	5	2 (40%)	2 (40%)	0 (0%)	0 (0%)	1 (20%)	5 (100%)	0 (0%)
BH volley	11	9 (82%)	5 (45%)	3 (27%)	1 (9%)	0 (0%)	10 (91%)	1 (9%)
FH smash	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH half-volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
