ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	574	71 (12%)	23 (4%)	17 (3%)	31 (5%)	81 (14%)	331 (58%)	243 (42%)
								
Forehand side	260	34 (13%)	15 (6%)	9 (3%)	10 (4%)	46 (18%)	157 (60%)	103 (40%)
Backhand side	314	37 (12%)	8 (3%)	8 (3%)	21 (7%)	35 (11%)	174 (55%)	140 (45%)
								
FH GS (top/flt/slc)	252	29 (12%)	10 (4%)	9 (4%)	10 (4%)	46 (18%)	152 (60%)	100 (40%)
BH GS (top/flt/slc)	308	35 (11%)	6 (2%)	8 (3%)	21 (7%)	35 (11%)	171 (56%)	137 (44%)
								
Baseline shots	567	66 (12%)	18 (3%)	17 (3%)	31 (5%)	81 (14%)	326 (57%)	241 (43%)
Net shots	7	5 (71%)	5 (71%)	0 (0%)	0 (0%)	0 (0%)	5 (71%)	2 (29%)
								
Groundstrokes (top/flt)	513	63 (12%)	16 (3%)	17 (3%)	30 (6%)	71 (14%)	306 (60%)	207 (40%)
Dropshots	4	1 (25%)	1 (25%)	0 (0%)	0 (0%)	0 (0%)	2 (50%)	2 (50%)
Lobs	3	1 (33%)	1 (33%)	0 (0%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
								
Volleys	3	2 (67%)	2 (67%)	0 (0%)	0 (0%)	0 (0%)	2 (67%)	1 (33%)
Smashes	4	3 (75%)	3 (75%)	0 (0%)	0 (0%)	0 (0%)	3 (75%)	1 (25%)
								
Forehands (top/flt)	245	29 (12%)	10 (4%)	9 (4%)	10 (4%)	42 (17%)	150 (61%)	95 (39%)
Backhands (top/flt)	268	34 (13%)	6 (2%)	8 (3%)	20 (7%)	29 (11%)	156 (58%)	112 (42%)
FH slice/chip	7	0 (0%)	0 (0%)	0 (0%)	0 (0%)	4 (57%)	2 (29%)	5 (71%)
BH slice/chip	40	1 (3%)	0 (0%)	0 (0%)	1 (3%)	6 (15%)	15 (38%)	25 (63%)
FH drop shot	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
BH drop shot	3	1 (33%)	1 (33%)	0 (0%)	0 (0%)	0 (0%)	2 (67%)	1 (33%)
FH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
BH lob	2	1 (50%)	1 (50%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
FH volley	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
BH volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
FH smash	4	3 (75%)	3 (75%)	0 (0%)	0 (0%)	0 (0%)	3 (75%)	1 (25%)
