ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	341	54 (16%)	21 (6%)	18 (5%)	15 (4%)	74 (22%)	222 (65%)	119 (35%)
								
Forehand side	150	31 (21%)	11 (7%)	10 (7%)	10 (7%)	41 (27%)	97 (65%)	53 (35%)
Backhand side	191	23 (12%)	10 (5%)	8 (4%)	5 (3%)	33 (17%)	125 (65%)	66 (35%)
								
FH GS (top/flt/slc)	143	30 (21%)	10 (7%)	10 (7%)	10 (7%)	41 (29%)	96 (67%)	47 (33%)
BH GS (top/flt/slc)	185	22 (12%)	9 (5%)	8 (4%)	5 (3%)	33 (18%)	124 (67%)	61 (33%)
								
Baseline shots	336	52 (15%)	19 (6%)	18 (5%)	15 (4%)	74 (22%)	220 (65%)	116 (35%)
Net shots	5	2 (40%)	2 (40%)	0 (0%)	0 (0%)	0 (0%)	2 (40%)	3 (60%)
								
Groundstrokes (top/flt)	314	52 (17%)	19 (6%)	18 (6%)	15 (5%)	66 (21%)	211 (67%)	103 (33%)
Lobs	8	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	8 (100%)
								
Volleys	4	2 (50%)	2 (50%)	0 (0%)	0 (0%)	0 (0%)	2 (50%)	2 (50%)
Smashes	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
Forehands (top/flt)	143	30 (21%)	10 (7%)	10 (7%)	10 (7%)	41 (29%)	96 (67%)	47 (33%)
Backhands (top/flt)	171	22 (13%)	9 (5%)	8 (5%)	5 (3%)	25 (15%)	115 (67%)	56 (33%)
BH slice/chip	14	0 (0%)	0 (0%)	0 (0%)	0 (0%)	8 (57%)	9 (64%)	5 (36%)
FH lob	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)
BH lob	5	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	5 (100%)
								
FH volley	3	1 (33%)	1 (33%)	0 (0%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
BH volley	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH smash	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
