ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	263	47 (18%)	13 (5%)	13 (5%)	21 (8%)	52 (20%)	139 (53%)	124 (47%)
								
Forehand side	120	27 (23%)	7 (6%)	9 (8%)	11 (9%)	31 (26%)	67 (56%)	53 (44%)
Backhand side	143	20 (14%)	6 (4%)	4 (3%)	10 (7%)	21 (15%)	72 (50%)	71 (50%)
								
FH GS (top/flt/slc)	115	24 (21%)	6 (5%)	7 (6%)	11 (10%)	31 (27%)	63 (55%)	52 (45%)
BH GS (top/flt/slc)	140	19 (14%)	6 (4%)	4 (3%)	9 (6%)	21 (15%)	72 (51%)	68 (49%)
								
Baseline shots	259	43 (17%)	12 (5%)	11 (4%)	20 (8%)	52 (20%)	136 (53%)	123 (47%)
Net shots	4	4 (100%)	1 (25%)	2 (50%)	1 (25%)	0 (0%)	3 (75%)	1 (25%)
								
Groundstrokes (top/flt)	239	39 (16%)	12 (5%)	9 (4%)	18 (8%)	51 (21%)	129 (54%)	110 (46%)
Dropshots	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
Lobs	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
								
Volleys	3	3 (100%)	0 (0%)	2 (67%)	1 (33%)	0 (0%)	2 (67%)	1 (33%)
Smashes	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Forehands (top/flt)	115	24 (21%)	6 (5%)	7 (6%)	11 (10%)	31 (27%)	63 (55%)	52 (45%)
Backhands (top/flt)	124	15 (12%)	6 (5%)	2 (2%)	7 (6%)	20 (16%)	66 (53%)	58 (47%)
BH slice/chip	16	4 (25%)	0 (0%)	2 (13%)	2 (13%)	1 (6%)	6 (38%)	10 (63%)
BH drop shot	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
FH lob	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
BH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
FH volley	2	2 (100%)	0 (0%)	2 (100%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
BH volley	1	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)
FH smash	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
