ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	179	36 (20%)	7 (4%)	17 (9%)	12 (7%)	42 (23%)	121 (68%)	58 (32%)
								
Forehand side	77	25 (32%)	5 (6%)	13 (17%)	7 (9%)	15 (19%)	55 (71%)	22 (29%)
Backhand side	102	11 (11%)	2 (2%)	4 (4%)	5 (5%)	27 (26%)	66 (65%)	36 (35%)
								
FH GS (top/flt/slc)	74	22 (30%)	4 (5%)	11 (15%)	7 (9%)	15 (20%)	52 (70%)	22 (30%)
BH GS (top/flt/slc)	101	10 (10%)	2 (2%)	3 (3%)	5 (5%)	27 (27%)	65 (64%)	36 (36%)
								
Baseline shots	176	33 (19%)	6 (3%)	15 (9%)	12 (7%)	42 (24%)	118 (67%)	58 (33%)
Net shots	3	3 (100%)	1 (33%)	2 (67%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
								
Groundstrokes (top/flt)	159	31 (19%)	5 (3%)	14 (9%)	12 (8%)	41 (26%)	107 (67%)	52 (33%)
Lobs	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Volleys	2	2 (100%)	0 (0%)	2 (100%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
Smashes	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Forehands (top/flt)	71	21 (30%)	3 (4%)	11 (15%)	7 (10%)	15 (21%)	51 (72%)	20 (28%)
Backhands (top/flt)	88	10 (11%)	2 (2%)	3 (3%)	5 (6%)	26 (30%)	56 (64%)	32 (36%)
FH slice/chip	3	1 (33%)	1 (33%)	0 (0%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
BH slice/chip	13	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (8%)	9 (69%)	4 (31%)
FH lob	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
FH volley	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH volley	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH smash	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
