ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	332	70 (21%)	23 (7%)	28 (8%)	19 (6%)	72 (22%)	183 (55%)	149 (45%)
								
Forehand side	186	47 (25%)	16 (9%)	23 (12%)	8 (4%)	33 (18%)	102 (55%)	84 (45%)
Backhand side	146	23 (16%)	7 (5%)	5 (3%)	11 (8%)	39 (27%)	81 (55%)	65 (45%)
								
FH GS (top/flt/slc)	167	40 (24%)	11 (7%)	21 (13%)	8 (5%)	33 (20%)	94 (56%)	73 (44%)
BH GS (top/flt/slc)	131	19 (15%)	5 (4%)	5 (4%)	9 (7%)	39 (30%)	75 (57%)	56 (43%)
								
Baseline shots	308	61 (20%)	17 (6%)	26 (8%)	18 (6%)	72 (23%)	173 (56%)	135 (44%)
Net shots	24	9 (38%)	6 (25%)	2 (8%)	1 (4%)	0 (0%)	10 (42%)	14 (58%)
								
Groundstrokes (top/flt)	274	58 (21%)	16 (6%)	25 (9%)	17 (6%)	64 (23%)	162 (59%)	112 (41%)
Dropshots	5	1 (20%)	0 (0%)	0 (0%)	1 (20%)	0 (0%)	2 (40%)	3 (60%)
Lobs	5	1 (20%)	1 (20%)	0 (0%)	0 (0%)	0 (0%)	2 (40%)	3 (60%)
								
Volleys	16	5 (31%)	4 (25%)	0 (0%)	1 (6%)	0 (0%)	5 (31%)	11 (69%)
Smashes	6	4 (67%)	2 (33%)	2 (33%)	0 (0%)	0 (0%)	4 (67%)	2 (33%)
Half-volleys	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
Swinging volleys	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Forehands (top/flt)	160	40 (25%)	11 (7%)	21 (13%)	8 (5%)	31 (19%)	93 (58%)	67 (42%)
Backhands (top/flt)	114	18 (16%)	5 (4%)	4 (4%)	9 (8%)	33 (29%)	69 (61%)	45 (39%)
FH slice/chip	7	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (29%)	1 (14%)	6 (86%)
BH slice/chip	17	1 (6%)	0 (0%)	1 (6%)	0 (0%)	6 (35%)	6 (35%)	11 (65%)
FH drop shot	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
BH drop shot	4	1 (25%)	0 (0%)	0 (0%)	1 (25%)	0 (0%)	2 (50%)	2 (50%)
FH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
BH lob	4	1 (25%)	1 (25%)	0 (0%)	0 (0%)	0 (0%)	2 (50%)	2 (50%)
								
FH volley	10	3 (30%)	3 (30%)	0 (0%)	0 (0%)	0 (0%)	3 (30%)	7 (70%)
BH volley	6	2 (33%)	1 (17%)	0 (0%)	1 (17%)	0 (0%)	2 (33%)	4 (67%)
FH smash	5	4 (80%)	2 (40%)	2 (40%)	0 (0%)	0 (0%)	4 (80%)	1 (20%)
BH smash	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
FH half-volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
FH swinging volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
