ND SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	197	24 (12%)	12 (6%)	5 (3%)	7 (4%)	32 (16%)	145 (74%)	52 (26%)
								
Forehand side	75	12 (16%)	7 (9%)	1 (1%)	4 (5%)	11 (15%)	55 (73%)	20 (27%)
Backhand side	122	12 (10%)	5 (4%)	4 (3%)	3 (2%)	21 (17%)	90 (74%)	32 (26%)
								
FH GS (top/flt/slc)	68	8 (12%)	4 (6%)	1 (1%)	3 (4%)	11 (16%)	49 (72%)	19 (28%)
BH GS (top/flt/slc)	105	7 (7%)	2 (2%)	3 (3%)	2 (2%)	21 (20%)	76 (72%)	29 (28%)
								
Baseline shots	189	18 (10%)	8 (4%)	4 (2%)	6 (3%)	32 (17%)	138 (73%)	51 (27%)
Net shots	8	6 (75%)	4 (50%)	1 (13%)	1 (13%)	0 (0%)	7 (88%)	1 (13%)
								
Groundstrokes (top/flt)	168	15 (9%)	6 (4%)	4 (2%)	5 (3%)	31 (18%)	121 (72%)	47 (28%)
Dropshots	15	3 (20%)	2 (13%)	0 (0%)	1 (7%)	0 (0%)	12 (80%)	3 (20%)
Lobs	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Volleys	6	4 (67%)	3 (50%)	1 (17%)	0 (0%)	0 (0%)	6 (100%)	0 (0%)
Smashes	2	2 (100%)	1 (50%)	0 (0%)	1 (50%)	0 (0%)	1 (50%)	1 (50%)
								
Forehands (top/flt)	67	8 (12%)	4 (6%)	1 (1%)	3 (4%)	10 (15%)	49 (73%)	18 (27%)
Backhands (top/flt)	101	7 (7%)	2 (2%)	3 (3%)	2 (2%)	21 (21%)	72 (71%)	29 (29%)
FH slice/chip	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)	1 (100%)
BH slice/chip	4	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
FH drop shot	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH drop shot	14	3 (21%)	2 (14%)	0 (0%)	1 (7%)	0 (0%)	11 (79%)	3 (21%)
FH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
FH volley	3	2 (67%)	2 (67%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
BH volley	3	2 (67%)	1 (33%)	1 (33%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
FH smash	2	2 (100%)	1 (50%)	0 (0%)	1 (50%)	0 (0%)	1 (50%)	1 (50%)
