RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	583	105 (18%)	43 (7%)	29 (5%)	32 (5%)	120 (21%)	313 (54%)	270 (46%)
								
Forehand side	283	57 (20%)	23 (8%)	19 (7%)	15 (5%)	56 (20%)	164 (58%)	119 (42%)
Backhand side	300	48 (16%)	20 (7%)	10 (3%)	17 (6%)	64 (21%)	149 (50%)	151 (50%)
								
FH GS (top/flt/slc)	276	50 (18%)	17 (6%)	18 (7%)	15 (5%)	56 (20%)	157 (57%)	119 (43%)
BH GS (top/flt/slc)	281	41 (15%)	15 (5%)	9 (3%)	16 (6%)	63 (22%)	141 (50%)	140 (50%)
								
Baseline shots	570	94 (16%)	34 (6%)	27 (5%)	32 (6%)	120 (21%)	300 (53%)	270 (47%)
Net shots	13	11 (85%)	9 (69%)	2 (15%)	0 (0%)	0 (0%)	13 (100%)	0 (0%)
								
Groundstrokes (top/flt)	497	86 (17%)	31 (6%)	25 (5%)	29 (6%)	107 (22%)	276 (56%)	221 (44%)
Dropshots	5	2 (40%)	1 (20%)	0 (0%)	1 (20%)	0 (0%)	1 (20%)	4 (80%)
Lobs	8	1 (13%)	1 (13%)	0 (0%)	0 (0%)	1 (13%)	1 (13%)	7 (88%)
								
Volleys	11	9 (82%)	8 (73%)	1 (9%)	0 (0%)	0 (0%)	11 (100%)	0 (0%)
Smashes	2	2 (100%)	1 (50%)	1 (50%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
								
Forehands (top/flt)	260	49 (19%)	17 (7%)	17 (7%)	15 (6%)	53 (20%)	151 (58%)	109 (42%)
Backhands (top/flt)	237	37 (16%)	14 (6%)	8 (3%)	14 (6%)	54 (23%)	125 (53%)	112 (47%)
FH slice/chip	16	1 (6%)	0 (0%)	1 (6%)	0 (0%)	3 (19%)	6 (38%)	10 (63%)
BH slice/chip	44	4 (9%)	1 (2%)	1 (2%)	2 (5%)	9 (20%)	16 (36%)	28 (64%)
FH drop shot	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH drop shot	4	1 (25%)	0 (0%)	0 (0%)	1 (25%)	0 (0%)	0 (0%)	4 (100%)
BH lob	8	1 (13%)	1 (13%)	0 (0%)	0 (0%)	1 (13%)	1 (13%)	7 (88%)
								
FH volley	4	4 (100%)	4 (100%)	0 (0%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
BH volley	7	5 (71%)	4 (57%)	1 (14%)	0 (0%)	0 (0%)	7 (100%)	0 (0%)
FH smash	2	2 (100%)	1 (50%)	1 (50%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
