RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	416	62 (15%)	20 (5%)	25 (6%)	17 (4%)	73 (18%)	222 (53%)	194 (47%)
								
Forehand side	231	41 (18%)	14 (6%)	15 (6%)	12 (5%)	29 (13%)	130 (56%)	101 (44%)
Backhand side	185	21 (11%)	6 (3%)	10 (5%)	5 (3%)	44 (24%)	92 (50%)	93 (50%)
								
FH GS (top/flt/slc)	219	34 (16%)	9 (4%)	15 (7%)	10 (5%)	29 (13%)	124 (57%)	95 (43%)
BH GS (top/flt/slc)	173	16 (9%)	5 (3%)	7 (4%)	4 (2%)	44 (25%)	87 (50%)	86 (50%)
								
Baseline shots	402	53 (13%)	16 (4%)	23 (6%)	14 (3%)	73 (18%)	216 (54%)	186 (46%)
Net shots	14	9 (64%)	4 (29%)	2 (14%)	3 (21%)	0 (0%)	6 (43%)	8 (57%)
								
Groundstrokes (top/flt)	351	47 (13%)	12 (3%)	21 (6%)	14 (4%)	62 (18%)	192 (55%)	159 (45%)
Dropshots	6	3 (50%)	2 (33%)	1 (17%)	0 (0%)	0 (0%)	4 (67%)	2 (33%)
Lobs	4	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (25%)	3 (75%)
								
Volleys	11	6 (55%)	1 (9%)	2 (18%)	3 (27%)	0 (0%)	3 (27%)	8 (73%)
Smashes	3	3 (100%)	3 (100%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
								
Forehands (top/flt)	211	34 (16%)	9 (4%)	15 (7%)	10 (5%)	28 (13%)	120 (57%)	91 (43%)
Backhands (top/flt)	140	13 (9%)	3 (2%)	6 (4%)	4 (3%)	34 (24%)	72 (51%)	68 (49%)
FH slice/chip	8	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (13%)	4 (50%)	4 (50%)
BH slice/chip	33	3 (9%)	2 (6%)	1 (3%)	0 (0%)	10 (30%)	15 (45%)	18 (55%)
FH drop shot	4	2 (50%)	2 (50%)	0 (0%)	0 (0%)	0 (0%)	3 (75%)	1 (25%)
BH drop shot	2	1 (50%)	0 (0%)	1 (50%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
BH lob	4	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (25%)	3 (75%)
								
FH volley	5	2 (40%)	0 (0%)	0 (0%)	2 (40%)	0 (0%)	0 (0%)	5 (100%)
BH volley	6	4 (67%)	1 (17%)	2 (33%)	1 (17%)	0 (0%)	3 (50%)	3 (50%)
FH smash	3	3 (100%)	3 (100%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
