RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	266	39 (15%)	14 (5%)	13 (5%)	12 (5%)	54 (20%)	152 (57%)	114 (43%)
								
Forehand side	129	19 (15%)	7 (5%)	6 (5%)	6 (5%)	20 (16%)	69 (53%)	60 (47%)
Backhand side	137	20 (15%)	7 (5%)	7 (5%)	6 (4%)	34 (25%)	83 (61%)	54 (39%)
								
FH GS (top/flt/slc)	126	17 (13%)	6 (5%)	6 (5%)	5 (4%)	20 (16%)	67 (53%)	59 (47%)
BH GS (top/flt/slc)	128	17 (13%)	5 (4%)	6 (5%)	6 (5%)	34 (27%)	79 (62%)	49 (38%)
								
Baseline shots	258	34 (13%)	11 (4%)	12 (5%)	11 (4%)	54 (21%)	147 (57%)	111 (43%)
Net shots	8	5 (63%)	3 (38%)	1 (13%)	1 (13%)	0 (0%)	5 (63%)	3 (38%)
								
Groundstrokes (top/flt)	225	34 (15%)	11 (5%)	12 (5%)	11 (5%)	39 (17%)	129 (57%)	96 (43%)
Dropshots	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Lobs	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)
								
Volleys	7	4 (57%)	2 (29%)	1 (14%)	1 (14%)	0 (0%)	4 (57%)	3 (43%)
Smashes	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Forehands (top/flt)	118	17 (14%)	6 (5%)	6 (5%)	5 (4%)	16 (14%)	64 (54%)	54 (46%)
Backhands (top/flt)	107	17 (16%)	5 (5%)	6 (6%)	6 (6%)	23 (21%)	65 (61%)	42 (39%)
FH slice/chip	8	0 (0%)	0 (0%)	0 (0%)	0 (0%)	4 (50%)	3 (38%)	5 (63%)
BH slice/chip	21	0 (0%)	0 (0%)	0 (0%)	0 (0%)	11 (52%)	14 (67%)	7 (33%)
FH drop shot	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH lob	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)
								
FH volley	1	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)
BH volley	6	3 (50%)	2 (33%)	1 (17%)	0 (0%)	0 (0%)	4 (67%)	2 (33%)
FH smash	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
