RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	194	35 (18%)	5 (3%)	13 (7%)	17 (9%)	57 (29%)	112 (58%)	82 (42%)
								
Forehand side	95	20 (21%)	3 (3%)	7 (7%)	10 (11%)	17 (18%)	58 (61%)	37 (39%)
Backhand side	99	15 (15%)	2 (2%)	6 (6%)	7 (7%)	40 (40%)	54 (55%)	45 (45%)
								
FH GS (top/flt/slc)	95	20 (21%)	3 (3%)	7 (7%)	10 (11%)	17 (18%)	58 (61%)	37 (39%)
BH GS (top/flt/slc)	95	12 (13%)	0 (0%)	5 (5%)	7 (7%)	40 (42%)	51 (54%)	44 (46%)
								
Baseline shots	192	33 (17%)	3 (2%)	13 (7%)	17 (9%)	57 (30%)	110 (57%)	82 (43%)
Net shots	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
								
Groundstrokes (top/flt)	179	30 (17%)	3 (2%)	12 (7%)	15 (8%)	56 (31%)	105 (59%)	74 (41%)
Lobs	2	1 (50%)	0 (0%)	1 (50%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
Volleys	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
								
Forehands (top/flt)	92	20 (22%)	3 (3%)	7 (8%)	10 (11%)	17 (18%)	57 (62%)	35 (38%)
Backhands (top/flt)	87	10 (11%)	0 (0%)	5 (6%)	5 (6%)	39 (45%)	48 (55%)	39 (45%)
FH slice/chip	3	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (33%)	2 (67%)
BH slice/chip	8	2 (25%)	0 (0%)	0 (0%)	2 (25%)	1 (13%)	3 (38%)	5 (63%)
BH lob	2	1 (50%)	0 (0%)	1 (50%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
BH volley	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
