RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	332	51 (15%)	17 (5%)	14 (4%)	20 (6%)	50 (15%)	149 (45%)	183 (55%)
								
Forehand side	175	30 (17%)	11 (6%)	11 (6%)	8 (5%)	31 (18%)	88 (50%)	87 (50%)
Backhand side	157	21 (13%)	6 (4%)	3 (2%)	12 (8%)	19 (12%)	61 (39%)	96 (61%)
								
FH GS (top/flt/slc)	169	24 (14%)	6 (4%)	11 (7%)	7 (4%)	31 (18%)	83 (49%)	86 (51%)
BH GS (top/flt/slc)	154	19 (12%)	5 (3%)	3 (2%)	11 (7%)	19 (12%)	60 (39%)	94 (61%)
								
Baseline shots	325	44 (14%)	11 (3%)	14 (4%)	19 (6%)	50 (15%)	143 (44%)	182 (56%)
Net shots	7	7 (100%)	6 (86%)	0 (0%)	1 (14%)	0 (0%)	6 (86%)	1 (14%)
								
Groundstrokes (top/flt)	303	43 (14%)	11 (4%)	14 (5%)	18 (6%)	44 (15%)	136 (45%)	167 (55%)
Lobs	2	1 (50%)	0 (0%)	0 (0%)	1 (50%)	0 (0%)	0 (0%)	2 (100%)
								
Volleys	4	4 (100%)	3 (75%)	0 (0%)	1 (25%)	0 (0%)	3 (75%)	1 (25%)
Smashes	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
Half-volleys	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
Forehands (top/flt)	164	24 (15%)	6 (4%)	11 (7%)	7 (4%)	31 (19%)	81 (49%)	83 (51%)
Backhands (top/flt)	139	19 (14%)	5 (4%)	3 (2%)	11 (8%)	13 (9%)	55 (40%)	84 (60%)
FH slice/chip	5	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (40%)	3 (60%)
BH slice/chip	15	0 (0%)	0 (0%)	0 (0%)	0 (0%)	6 (40%)	5 (33%)	10 (67%)
FH lob	1	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)
BH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
FH volley	3	3 (100%)	3 (100%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
BH volley	1	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)
FH smash	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
BH half-volley	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
