RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	231	42 (18%)	14 (6%)	13 (6%)	15 (6%)	37 (16%)	146 (63%)	85 (37%)
								
Forehand side	135	32 (24%)	11 (8%)	12 (9%)	9 (7%)	13 (10%)	88 (65%)	47 (35%)
Backhand side	96	10 (10%)	3 (3%)	1 (1%)	6 (6%)	24 (25%)	58 (60%)	38 (40%)
								
FH GS (top/flt/slc)	131	28 (21%)	8 (6%)	12 (9%)	8 (6%)	13 (10%)	85 (65%)	46 (35%)
BH GS (top/flt/slc)	95	10 (11%)	3 (3%)	1 (1%)	6 (6%)	24 (25%)	58 (61%)	37 (39%)
								
Baseline shots	229	40 (17%)	13 (6%)	13 (6%)	14 (6%)	37 (16%)	145 (63%)	84 (37%)
Net shots	2	2 (100%)	1 (50%)	0 (0%)	1 (50%)	0 (0%)	1 (50%)	1 (50%)
								
Groundstrokes (top/flt)	197	38 (19%)	11 (6%)	13 (7%)	14 (7%)	31 (16%)	131 (66%)	66 (34%)
Dropshots	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
Lobs	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
Volleys	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
Smashes	1	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)
								
Forehands (top/flt)	127	28 (22%)	8 (6%)	12 (9%)	8 (6%)	12 (9%)	84 (66%)	43 (34%)
Backhands (top/flt)	70	10 (14%)	3 (4%)	1 (1%)	6 (9%)	19 (27%)	47 (67%)	23 (33%)
FH slice/chip	4	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (25%)	1 (25%)	3 (75%)
BH slice/chip	25	0 (0%)	0 (0%)	0 (0%)	0 (0%)	5 (20%)	11 (44%)	14 (56%)
FH drop shot	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
BH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
FH volley	1	1 (100%)	1 (100%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH smash	1	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)		
