RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	786	126 (16%)	35 (4%)	51 (6%)	40 (5%)	134 (17%)	438 (56%)	348 (44%)
								
Forehand side	428	83 (19%)	25 (6%)	31 (7%)	27 (6%)	51 (12%)	248 (58%)	180 (42%)
Backhand side	358	43 (12%)	10 (3%)	20 (6%)	13 (4%)	83 (23%)	190 (53%)	168 (47%)
								
FH GS (top/flt/slc)	414	70 (17%)	15 (4%)	28 (7%)	27 (7%)	51 (12%)	234 (57%)	180 (43%)
BH GS (top/flt/slc)	346	38 (11%)	8 (2%)	17 (5%)	13 (4%)	83 (24%)	185 (53%)	161 (47%)
								
Baseline shots	769	111 (14%)	25 (3%)	46 (6%)	40 (5%)	134 (17%)	422 (55%)	347 (45%)
Net shots	17	15 (88%)	10 (59%)	5 (29%)	0 (0%)	0 (0%)	16 (94%)	1 (6%)
								
Groundstrokes (top/flt)	725	108 (15%)	23 (3%)	45 (6%)	40 (6%)	122 (17%)	400 (55%)	325 (45%)
Dropshots	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
Lobs	7	1 (14%)	0 (0%)	1 (14%)	0 (0%)	0 (0%)	1 (14%)	6 (86%)
								
Volleys	11	11 (100%)	8 (73%)	3 (27%)	0 (0%)	0 (0%)	11 (100%)	0 (0%)
Smashes	5	4 (80%)	2 (40%)	2 (40%)	0 (0%)	0 (0%)	5 (100%)	0 (0%)
Half-volleys	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
								
Forehands (top/flt)	410	70 (17%)	15 (4%)	28 (7%)	27 (7%)	50 (12%)	233 (57%)	177 (43%)
Backhands (top/flt)	315	38 (12%)	8 (3%)	17 (5%)	13 (4%)	72 (23%)	167 (53%)	148 (47%)
FH slice/chip	4	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (25%)	1 (25%)	3 (75%)
BH slice/chip	31	0 (0%)	0 (0%)	0 (0%)	0 (0%)	11 (35%)	18 (58%)	13 (42%)
FH drop shot	2	2 (100%)	2 (100%)	0 (0%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
BH lob	7	1 (14%)	0 (0%)	1 (14%)	0 (0%)	0 (0%)	1 (14%)	6 (86%)
								
FH volley	7	7 (100%)	6 (86%)	1 (14%)	0 (0%)	0 (0%)	7 (100%)	0 (0%)
BH volley	4	4 (100%)	2 (50%)	2 (50%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
FH smash	5	4 (80%)	2 (40%)	2 (40%)	0 (0%)	0 (0%)	5 (100%)	0 (0%)
BH half-volley	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)		
