RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	283	51 (18%)	24 (8%)	12 (4%)	15 (5%)	74 (26%)	175 (62%)	108 (38%)
								
Forehand side	152	29 (19%)	13 (9%)	6 (4%)	10 (7%)	32 (21%)	99 (65%)	53 (35%)
Backhand side	131	22 (17%)	11 (8%)	6 (5%)	5 (4%)	42 (32%)	76 (58%)	55 (42%)
								
FH GS (top/flt/slc)	144	22 (15%)	8 (6%)	4 (3%)	10 (7%)	32 (22%)	91 (63%)	53 (37%)
BH GS (top/flt/slc)	123	18 (15%)	8 (7%)	5 (4%)	5 (4%)	42 (34%)	69 (56%)	54 (44%)
								
Baseline shots	272	42 (15%)	16 (6%)	11 (4%)	15 (6%)	74 (27%)	164 (60%)	108 (40%)
Net shots	11	9 (82%)	8 (73%)	1 (9%)	0 (0%)	0 (0%)	11 (100%)	0 (0%)
								
Groundstrokes (top/flt)	221	38 (17%)	15 (7%)	9 (4%)	14 (6%)	59 (27%)	139 (63%)	82 (37%)
Dropshots	3	2 (67%)	0 (0%)	2 (67%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
Lobs	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
Volleys	8	6 (75%)	5 (63%)	1 (13%)	0 (0%)	0 (0%)	8 (100%)	0 (0%)
Smashes	3	3 (100%)	3 (100%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
								
Forehands (top/flt)	139	22 (16%)	8 (6%)	4 (3%)	10 (7%)	30 (22%)	90 (65%)	49 (35%)
Backhands (top/flt)	82	16 (20%)	7 (9%)	5 (6%)	4 (5%)	29 (35%)	49 (60%)	33 (40%)
FH slice/chip	5	0 (0%)	0 (0%)	0 (0%)	0 (0%)	2 (40%)	1 (20%)	4 (80%)
BH slice/chip	41	2 (5%)	1 (2%)	0 (0%)	1 (2%)	13 (32%)	20 (49%)	21 (51%)
FH drop shot	1	1 (100%)	0 (0%)	1 (100%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
BH drop shot	2	1 (50%)	0 (0%)	1 (50%)	0 (0%)	0 (0%)	2 (100%)	0 (0%)
BH lob	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
FH volley	4	3 (75%)	2 (50%)	1 (25%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
BH volley	4	3 (75%)	3 (75%)	0 (0%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
FH smash	3	3 (100%)	3 (100%)	0 (0%)	0 (0%)	0 (0%)		
