RN SHOT TYPES	Total	PtEnd---%	Winner--%	IndFcd--%	UnfErr--%	SvReturn	inPtsW--%	inPtsL--%
Total	385	77 (20%)	40 (10%)	15 (4%)	22 (6%)	69 (18%)	251 (65%)	134 (35%)
								
Forehand side	227	49 (22%)	31 (14%)	6 (3%)	12 (5%)	23 (10%)	151 (67%)	76 (33%)
Backhand side	158	28 (18%)	9 (6%)	9 (6%)	10 (6%)	46 (29%)	100 (63%)	58 (37%)
								
FH GS (top/flt/slc)	217	40 (18%)	23 (11%)	6 (3%)	11 (5%)	23 (11%)	143 (66%)	74 (34%)
BH GS (top/flt/slc)	152	24 (16%)	5 (3%)	9 (6%)	10 (7%)	46 (30%)	94 (62%)	58 (38%)
								
Baseline shots	375	67 (18%)	31 (8%)	15 (4%)	21 (6%)	69 (18%)	242 (65%)	133 (35%)
Net shots	10	10 (100%)	9 (90%)	0 (0%)	1 (10%)	0 (0%)	9 (90%)	1 (10%)
								
Groundstrokes (top/flt)	341	61 (18%)	26 (8%)	15 (4%)	20 (6%)	66 (19%)	219 (64%)	122 (36%)
Dropshots	4	3 (75%)	3 (75%)	0 (0%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
Lobs	2	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (50%)	1 (50%)
								
Volleys	6	6 (100%)	5 (83%)	0 (0%)	1 (17%)	0 (0%)	5 (83%)	1 (17%)
Smashes	4	4 (100%)	4 (100%)	0 (0%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
								
Forehands (top/flt)	213	37 (17%)	21 (10%)	6 (3%)	10 (5%)	23 (11%)	141 (66%)	72 (34%)
Backhands (top/flt)	128	24 (19%)	5 (4%)	9 (7%)	10 (8%)	43 (34%)	78 (61%)	50 (39%)
FH slice/chip	4	3 (75%)	2 (50%)	0 (0%)	1 (25%)	0 (0%)	2 (50%)	2 (50%)
BH slice/chip	24	0 (0%)	0 (0%)	0 (0%)	0 (0%)	3 (13%)	16 (67%)	8 (33%)
FH drop shot	3	3 (100%)	3 (100%)	0 (0%)	0 (0%)	0 (0%)	3 (100%)	0 (0%)
BH drop shot	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
FH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)
BH lob	1	0 (0%)	0 (0%)	0 (0%)	0 (0%)	0 (0%)	1 (100%)	0 (0%)
								
FH volley	2	2 (100%)	1 (50%)	0 (0%)	1 (50%)	0 (0%)	1 (50%)	1 (50%)
BH volley	4	4 (100%)	4 (100%)	0 (0%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
FH smash	4	4 (100%)	4 (100%)	0 (0%)	0 (0%)	0 (0%)	4 (100%)	0 (0%)
